teamIdHome,teamIdAway,home_team_position,away_team_position,matchweek,homeGF,homeGA,awayGF,awayGA,homeLast1,homeLast2,homeLast3,homeLast4,homeLast5,awayLast1,awayLast2,awayLast3,awayLast4,awayLast5,o35
9,3,19,2,12,15,11,24,19,0.5,0,0,0.5,0,1,1,1,0,1,0
6,17,18,16,12,19,18,22,20,0,1,0.5,0,0.5,0.5,1,0.5,0,0,0
11,16,13,15,12,14,19,11,20,0,0,0.5,0,1,0,0.5,0,0,1,1
8,5,17,7,12,12,15,15,13,0.5,0.5,0,0,0,0.5,1,0.5,1,0.5,0
20,4,10,8,12,18,13,17,10,1,0,0,1,0,0,0.5,0.5,1,1,0
15,14,14,4,12,8,10,7,17,0.5,1,0.5,0.5,0,0,0,1,1,1,1
19,1,6,3,12,12,16,23,12,1,1,0,1,1,1,0.5,1,0.5,1,0
13,7,12,11,12,9,15,21,19,0,1,0,0.5,1,1,0,1,0,0,0
10,2,20,1,12,11,16,22,17,0,0.5,0,0,0,0.5,1,0,1,1,0
12,18,9,5,12,9,11,13,11,0.5,0,0,1,0,0,1,1,1,1,1
8,19,17,6,15,19,18,15,16,0.5,0.5,0,0,0,1,1,0,1,1,0
5,12,7,9,15,16,15,13,18,0.5,1,0.5,1,0.5,0.5,0,0,1,0,0
3,18,2,5,15,31,21,18,14,1,1,1,0,1,0,1,1,1,1,1
1,14,3,4,15,29,17,12,23,1,0.5,1,0.5,1,0,0,1,1,1,0
10,9,20,19,15,12,20,19,13,0,0.5,0,0,0,0.5,0,0,0.5,0,0
7,15,11,14,15,22,23,15,17,1,0,1,0,0,0.5,1,0.5,0.5,0,0
17,13,16,12,15,24,27,11,17,0.5,1,0.5,0,0,0,1,0,0.5,1,0
16,4,15,8,15,15,27,24,15,0,0.5,0,0,1,0,0.5,0.5,1,1,0
6,11,18,13,15,21,19,17,28,0,1,0.5,0,0.5,0,0,0.5,0,1,0
2,20,1,10,15,25,18,25,17,0.5,1,0,1,1,1,0,0,1,0,0
12,17,9,16,16,13,18,25,28,0.5,0,0,1,0,0.5,1,0.5,0,0,1
18,5,5,7,16,19,17,16,15,0,1,1,1,1,0.5,1,0.5,1,0.5,0
4,1,8,3,16,24,15,31,18,0,0.5,0.5,1,1,1,0.5,1,0.5,1,1
15,16,14,15,16,15,17,15,27,0.5,1,0.5,0.5,0,0,0.5,0,0,1,0
9,19,19,6,16,21,13,16,17,0.5,0,0,0.5,0,1,1,0,1,1,0
13,10,12,20,16,12,18,12,22,0,1,0,0.5,1,0,0.5,0,0,0,0
11,8,13,17,16,19,29,20,19,0,0,0.5,0,1,0.5,0.5,0,0,0,0
7,3,11,2,16,22,23,34,22,1,0,1,0,0,1,1,1,0,1,1
14,2,4,1,16,13,25,25,18,0,0,1,1,1,0.5,1,0,1,1,0
20,6,10,18,16,25,17,22,21,1,0,0,1,0,0,1,0.5,0,0.5,0
12,17,9,16,17,15,21,28,30,0.5,0,0,1,0,0.5,1,0.5,0,0,1
18,5,5,7,17,21,17,16,17,0,1,1,1,1,0.5,1,0.5,1,0.5,0
4,1,8,3,17,28,16,32,22,0,0.5,0.5,1,1,1,0.5,1,0.5,1,1
15,16,14,15,17,15,17,15,27,0.5,1,0.5,0.5,0,0,0.5,0,0,1,0
9,19,19,6,17,22,15,18,18,0.5,0,0,0.5,0,1,1,0,1,1,0
13,10,12,20,17,13,19,13,23,0,1,0,0.5,1,0,0.5,0,0,0,0
11,8,13,17,17,19,30,21,19,0,0,0.5,0,1,0.5,0.5,0,0,0,0
7,3,11,2,17,23,26,37,23,1,0,1,0,0,1,1,1,0,1,1
14,2,4,1,17,16,25,25,21,0,0,1,1,1,0.5,1,0,1,1,0
20,6,10,18,17,26,18,23,22,1,0,0,1,0,0,1,0.5,0,0.5,0
12,1,9,3,20,19,26,37,23,0.5,0,0,1,0,1,0.5,1,0.5,1,0
6,16,18,15,20,26,25,18,30,0,1,0.5,0,0.5,0,0.5,0,0,1,0
9,8,19,17,20,29,20,23,23,0.5,0,0,0.5,0,0.5,0.5,0,0,0,1
17,11,16,13,20,33,34,21,35,0.5,1,0.5,0,0,0,0,0.5,0,1,0
13,2,12,1,20,17,19,27,24,0,1,0,0.5,1,0.5,1,0,1,1,0
18,7,5,11,20,24,25,23,28,0,1,1,1,1,1,0,1,0,0,0
5,20,7,10,20,16,19,35,25,0.5,1,0.5,1,0.5,1,0,0,1,0,0
14,3,4,2,20,21,31,44,27,0,0,1,1,1,1,1,1,0,1,0
15,10,14,20,20,17,22,20,28,0.5,1,0.5,0.5,0,0,0.5,0,0,0,0
4,19,8,6,20,33,19,22,22,0,0.5,0.5,1,1,1,1,0,1,1,0
1,4,3,8,21,37,24,35,19,1,0.5,1,0.5,1,0,0.5,0.5,1,1,1
16,17,15,16,21,18,32,34,34,0,0.5,0,0,1,0.5,1,0.5,0,0,0
8,18,17,5,21,24,27,25,26,0.5,0.5,0,0,0,0,1,1,1,1,1
20,13,10,12,21,35,25,18,20,1,0,0,1,0,0,1,0,0.5,1,0
3,15,2,14,21,44,28,19,22,1,1,1,0,1,0.5,1,0.5,0.5,0,0
2,7,1,11,21,28,25,24,29,0.5,1,0,1,1,1,0,1,0,0,0
14,6,4,18,21,22,31,28,25,0,0,1,1,1,0,1,0.5,0,0.5,0
11,5,13,7,21,21,36,16,19,0,0,0.5,0,1,0.5,1,0.5,1,0.5,0
19,9,6,19,21,22,24,33,21,1,1,0,1,1,0.5,0,0,0.5,0,0
10,12,20,9,21,20,30,20,26,0,0.5,0,0,0,0.5,0,0,1,0,0
8,19,17,6,22,27,30,23,26,0.5,0.5,0,0,0,1,1,0,1,1,0
9,1,19,3,22,35,22,40,25,0.5,0,0,0.5,0,1,0.5,1,0.5,1,1
18,2,5,1,22,28,29,28,28,0,1,1,1,1,0.5,1,0,1,1,1
12,3,9,2,22,21,26,47,28,0.5,0,0,1,0,1,1,1,0,1,1
17,14,16,4,22,36,35,23,33,0.5,1,0.5,0,0,0,0,1,1,1,0
15,6,14,18,22,19,25,30,26,0.5,1,0.5,0.5,0,0,1,0.5,0,0.5,1
7,20,11,10,22,27,29,35,25,1,0,1,0,0,1,0,0,1,0,1
5,16,7,15,22,16,20,19,34,0.5,1,0.5,1,0.5,0,0.5,0,0,1,0
13,11,12,13,22,18,20,22,36,0,1,0,0.5,1,0,0,0.5,0,1,0
